"","Sample","model","train_MAE","train_MSE","train_RMSE","train_RSquare","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"1",1,"LM_MSE",0.181772764666393,0.0844093282511221,0.290532835065371,0.0739234919257379,1.09161697169449,20.7047063630769,4.55024245102136,-422.501619412791,0.22903388016624,0.116014968525894,0.340609701162333,-1.80848062950508
"2",1,"LM_MAE",0.18558098167509,0.0810004780659556,0.284605829290188,0.111322866395766,0.968889756758027,12.846684057347,3.58422712133968,-261.770763659476,0.273452103430747,0.158939734091381,0.398672464676683,-2.84759975480839
"3",1,"ELN_MSE",0.195984675325769,0.0897406845283439,0.29956749578074,0.0154318073358448,0.156540380828475,0.0475889215612845,0.218148851844983,0.0265988324638444,0.133887462026313,0.0399474185124452,0.199868503052495,0.0329562424878426
"4",1,"ELN_MAE",0.195458506878246,0.0913748364399516,0.302282709462436,-0.00249689470834435,0.155481207612902,0.0481707788725515,0.219478424617436,0.0146973106906014,0.131368891094425,0.0407178270409267,0.201786587861846,0.0143062574338637
"5",1,"RF_MSE",0.101879721244849,0.0264436398584464,0.162615005022435,0.709880007716352,0.201645129197503,0.0751623831638554,0.274157588193096,-0.537398813130868,0.13036577711938,0.0366289650976447,0.191386951220935,0.113289084480574
"6",1,"RF_MAE",0.113826732322477,0.0378111909695528,0.194450998890602,0.5851636729647,0.18535847308188,0.0652682887857976,0.25547659146348,-0.335021396216476,0.126703314621044,0.0367852984814258,0.191794938623066,0.109504579035517
"7",1,"NN1_MSE",0.19011780742988,0.0852721007175422,0.292013870762233,0.0644577927012653,0.218730478879085,0.0946208115118239,0.30760496015478,-0.935408607236821,0.169126546587276,0.0570436827814991,0.238838193724327,-0.380908689310345
"8",1,"NN1_MAE",0.187634562803575,0.0866803236724503,0.29441522323489,0.0490078155045327,0.218968437262385,0.0888851444861005,0.298136117379462,-0.818089180860496,0.157323971010072,0.0504182140116687,0.224540005370243,-0.220519896916659
"9",1,"NN2_MSE",0.190145948756408,0.0858681635047377,0.293032700401743,0.0579182341477744,0.215046712217264,0.0883570658876763,0.297249164654295,-0.807287668504411,0.168772710077496,0.0594363613649333,0.243795736970385,-0.438830451817281
"10",1,"NN2_MAE",0.188448033687821,0.087877059878057,0.296440651527514,0.0358781139734753,0.198938987168529,0.0743177207287687,0.272612766995181,-0.520121779453429,0.162667088120913,0.0554469814815216,0.235471827362684,-0.342255878133729
"11",1,"NN3_MSE",0.189277960133505,0.0859177573877827,0.293117309942253,0.0573741268674087,0.201864915045317,0.0771433994794183,0.277747006247445,-0.577919243752389,0.154783750976522,0.0501522020239765,0.223946873217682,-0.214080301025348
"12",1,"NN3_MAE",0.187528355971268,0.0877620806101199,0.296246655019293,0.037139581173348,0.196305083538474,0.0728763673211132,0.269956232232399,-0.490639810881451,0.146411309267032,0.0449013188598374,0.211899313023515,-0.0869673617067688
"13",1,"NN4_MSE",0.190173479034439,0.0861207346142572,0.29346334458371,0.0551472113711396,0.188448355171824,0.0679023173848698,0.260580731031421,-0.388898778379017,0.153802093958795,0.0486412578404465,0.22054763168179,-0.177503490932432
"14",1,"NN4_MAE",0.188075756411964,0.0869910509341358,0.294942453597538,0.0455987465849332,0.192755784433057,0.0692045371400764,0.263067552427274,-0.415534856451818,0.157301341636761,0.0502855152127771,0.224244320357901,-0.217307535520703
"15",1,"NN5_MSE",0.189776326220049,0.0865228349883284,0.294147641480139,0.0507356644718762,0.186835347003122,0.0674852576777011,0.259779247973546,-0.380368086937155,0.149435791098384,0.047278758983459,0.217436793076653,-0.144520232856401
"16",1,"NN5_MAE",0.189474767164544,0.0870104566784714,0.294975349272564,0.0453858411593927,0.194839898459132,0.0701487065875386,0.264856011046641,-0.434847242872007,0.140781262224235,0.0428323482347048,0.206959774436253,-0.03688189430949
"17",2,"LM_MSE",0.178369508777964,0.0814551304137111,0.285403452000341,0.0743966237196418,0.751009183899993,5.60875908709019,2.36828188505722,-112.920422781286,0.397573339785593,0.31265328967316,0.559154084017241,-6.32993523817053
"18",2,"LM_MAE",0.181982136825527,0.0782445335907278,0.279722243646671,0.110879767803199,0.835163267065377,8.13925756239563,2.85293840844762,-164.317791018714,0.555673155061944,0.742223199498182,0.861523766066951,-16.4008979412202
"19",2,"ELN_MSE",0.192365396397927,0.0866020469237394,0.294282257235701,0.0159103960883203,0.156394610177131,0.0479313566602301,0.218932310681247,0.026458378684464,0.140401838866602,0.0427699854312613,0.206809055486604,-0.00271205742427671
"20",2,"ELN_MAE",0.191764705762269,0.0880102378401839,0.296665194858082,-9.13739670245217e-05,0.154661951795438,0.04802753238374,0.219151847776239,0.0245049378407025,0.137092464967052,0.0418918429294047,0.204674968985962,0.0178753724256465
"21",2,"RF_MSE",0.092234850701188,0.0217116365171684,0.147348690245853,0.753283016517272,0.19388757556027,0.0715115450698771,0.267416426327698,-0.452482683175798,0.195816675823582,0.0706422822913581,0.265786158953694,-0.656158343363395
"22",2,"RF_MAE",0.0934570711835909,0.0268204813875303,0.163769598483755,0.695229410355425,0.182112757267167,0.0648425893400687,0.254642080850885,-0.3170284330551,0.173721188570469,0.0575462903459295,0.239888078790776,-0.349132074936975
"23",2,"NN1_MSE",0.186504935248407,0.0820554568217324,0.28645323671017,0.0675749030089563,0.232318905317255,0.0995075439061414,0.315448163580233,-1.02111399254199,0.207662135140608,0.0747514284786899,0.273407074668323,-0.752494369345413
