"","Sample","model","train_MAE","train_MSE","train_RMSE","train_RSquare","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"3",1,"ELN_MSE",0.160287986982905,0.0628105889739735,0.250620408135438,0.323457475098069,0.123472868394113,0.0314707252821997,0.177399902148225,0.347498791673377,0.109128123043443,0.0298343345035965,0.172726183607456,0.29540265765487
"4",1,"ELN_MAE",0.161240122684475,0.0647590629292133,0.254478020522821,0.302470162116021,0.123940327370491,0.032092898561499,0.179144909393203,0.334598904146447,0.110489695589574,0.0309520124777983,0.175931840432021,0.269006462019089
"5",1,"RF_MSE",0.0675535775689542,0.0121938669653071,0.110425843738262,0.86865798140429,0.132042960500541,0.0334763755409153,0.182965503691038,0.305914455578247,0.110046057513967,0.0293708549795422,0.171379272315943,0.306348651467491
"6",1,"RF_MAE",0.0827505963873797,0.0211627828372538,0.145474337383793,0.772052407586886,0.125232579869512,0.0313081337762046,0.176941046046995,0.350869897778308,0.107850590604808,0.0289104208198907,0.170030646707853,0.317222722922855
"7",1,"NN1_MSE",0.159586143146261,0.0610901636489726,0.247164244276903,0.341988441170742,0.158035921433992,0.0479489746581854,0.218972543160519,0.0058454763295569,0.134916382481464,0.0398143314675759,0.199535288777639,0.0597051147254413
"8",1,"NN1_MAE",0.158572502720979,0.0636619775209611,0.252313252765211,0.314287037968586,0.143487743964379,0.0409656727264717,0.202399784403224,0.150634416136105,0.122554229347541,0.0353165903743243,0.18792708792062,0.165928245678121
"9",1,"NN2_MSE",0.162101355580936,0.0622190764887723,0.249437520210517,0.329828747152449,0.15862632890701,0.0505583811219062,0.224851909313455,-0.0482568951704778,0.12765211963509,0.0377073956769137,0.194183922292536,0.109464607715422
"10",1,"NN2_MAE",0.158519341890187,0.0634215264904951,0.25183630892009,0.316876973040428,0.145807709324833,0.0420745487244443,0.205120814946812,0.127643432545056,0.12267663814845,0.035462964216717,0.188316128403058,0.162471335307745
"11",1,"NN3_MSE",0.162896914898645,0.062722866437708,0.250445336226706,0.324402348042987,0.156565841627964,0.0464028088186443,0.215413111993315,0.0379030495035885,0.130720396419901,0.037318685177577,0.193180447192714,0.118644781811186
"12",1,"NN3_MAE",0.164460157683006,0.0683640368010977,0.261465173208781,0.263640433477419,0.141828585000897,0.0403195391961711,0.2007972589359,0.164031085754648,0.127500189079574,0.0390662270105512,0.197651782209398,0.0773730942861256
