yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
199507,0.0739,0.0585,0.0633,183.2953
199508,0.0769,0.0441,0.0481,169.1491
199509,0.081,0.0574,0.07,152.3474
199510,0.0743,-0.0786,-0.042,181.1505
199511,0.0781,0.055,0.0642,163.756
199512,0.0764,-0.0188,-0.0136,171.436
199601,0.0811,0.0656,0.0708,151.9917
199602,0.0833,0.0313,0.0299,144.1188
199603,0.0836,0.0077,0.0333,143.2435
199604,0.0827,-0.0058,-0.0128,146.2974
199605,0.084,0.0203,0.0253,141.8021
199606,0.0813,-0.0272,0.0036,151.3293
199607,0.0813,0.0041,-0.0021,151.4089
199608,0.0836,0.0329,0.0354,143.1313
199609,0.087,0.0457,0.0664,132.0889
199610,0.0922,0.0646,0.0813,117.6941
199611,0.0982,0.0716,0.1048,103.6208
199612,0.0945,-0.0316,-0.0217,111.9967
199701,0.1027,0.0932,0.0921,94.7637
199702,0.1052,0.0306,0.0452,90.4309
199703,0.0938,-0.1006,-0.0776,113.5918
199704,0.0999,0.0705,0.0771,100.2448
199705,0.1004,0.0121,0.0368,99.1635
199706,0.1032,0.0343,0.0641,93.9116
199707,0.1164,0.1349,0.1296,73.8119
199708,0.1086,-0.0588,-0.0698,84.7696
199709,0.1153,0.0689,0.0934,75.2379
199710,0.112,-0.0204,-0.0268,79.6981
199711,0.1186,0.0663,0.0172,71.1206
199712,0.1176,0.0001,0.0477,72.2971
199801,0.1174,0.0065,-0.0313,72.5347
199802,0.1272,0.0918,0.1082,61.7634
199803,0.128,0.0149,0.0619,61.0175
199804,0.1292,0.0179,0.0352,59.9232
199805,0.1294,0.0109,-0.0162,59.6837
199806,0.1315,0.0249,0.0302,57.8209
199807,0.134,0.0278,0.0244,55.7145
199808,0.0997,-0.2467,-0.2806,100.6267
199809,0.0859,-0.1315,-0.1046,135.4547
199810,0.1196,0.3965,0.1521,69.9564
199811,0.118,-0.0048,0.1098,71.8283
199812,0.116,-0.0089,0.0006,74.3491
199901,0.1195,0.0388,0.0492,69.9833
199902,0.1219,0.0281,0.0272,67.2941
199903,0.1274,0.0535,0.0651,61.6188
199904,0.1322,0.0466,0.0456,57.2166
199905,0.1241,-0.0524,-0.0638,64.9599
199906,0.1297,0.0541,0.0538,59.4353
199907,0.1256,-0.023,-0.0678,63.4216
199908,0.1182,-0.0504,-0.0207,71.6358
199909,0.1115,-0.0479,-0.0524,80.3993
199910,0.1222,0.1038,0.1116,66.9172
199911,0.1205,-0.0055,-0.0154,68.8346
199912,0.1183,-0.0101,0.0048,71.4534
200001,0.1078,-0.0809,-0.0574,86.1274
200002,0.1024,-0.0421,-0.0433,95.3388
200003,0.1107,0.0882,0.1179,81.5462
200004,0.1052,-0.0426,-0.0566,90.4045
200005,0.1086,0.0401,0.0403,84.7372
200006,0.1059,-0.018,-0.0222,89.2214
200007,0.1162,0.105,0.0927,74.0341
200008,0.1294,0.1216,0.1214,59.703
200009,0.1206,-0.0596,-0.0177,68.807
200010,0.1204,0.0075,-0.0142,68.9326
200011,0.1091,-0.086,-0.0922,84.0432
200012,0.114,0.0528,0.1185,76.9123
200101,0.1164,0.029,0.0564,73.7655
200102,0.1089,-0.0567,-0.1093,84.3417
200103,0.1067,-0.0122,-0.039,87.7712
200104,0.1109,0.0459,0.0492,81.3728
200105,0.114,0.0361,0.0241,76.9326
200106,0.11,-0.0271,-0.0406,82.6215
200107,0.1085,-0.0065,-0.0042,85.0066
200108,0.1041,-0.0327,-0.0335,92.265
200109,0.0898,-0.1302,-0.1053,123.9622
200110,0.0865,-0.0313,0.0253,133.6225
200111,0.0929,0.079,0.0871,115.8738
200112,0.0901,-0.0239,0.031,123.0958
200201,0.0899,0.0029,-0.0343,123.7577
200202,0.0869,-0.0276,-0.0307,132.3758
200203,0.0939,0.0851,0.0974,113.5129
200204,0.0922,-0.0114,-0.0023,117.5619
200205,0.0977,0.065,0.0313,104.7842
200206,0.0894,-0.0788,-0.0593,125.2185
200207,0.0816,-0.0809,-0.0905,150.0237
200208,0.0837,0.0301,0.0367,142.5957
200209,0.0723,-0.1323,-0.1447,191.4924
200210,0.076,0.0548,0.073,173.0516
200211,0.0819,0.0809,0.0849,149.0821
200212,0.0757,-0.0717,-0.0609,174.6694
200301,0.0711,-0.0575,-0.0139,198.0635
200302,0.0705,-0.0046,-0.0012,200.9588
200303,0.0685,-0.0271,-0.0172,213.4175
200304,0.0766,0.1216,0.132,170.2742
200305,0.0798,0.045,0.0756,157.0143
200306,0.0802,0.0095,0.0384,155.3576
200307,0.0837,0.0476,0.0393,142.708
200308,0.0838,0.0061,-0.0043,142.3152
200309,0.0835,0.0009,0.0197,143.4128
200310,0.0893,0.0743,0.0797,125.3574
200311,0.0888,0.0002,0.0088,126.6926
200312,0.0915,0.0354,0.0571,119.4128
200401,0.0878,-0.0344,0.015,129.6048
200402,0.0899,0.0284,0.0309,123.8278
200403,0.0872,-0.0241,-0.016,131.5198
200404,0.0871,0.0037,-0.0461,131.9295
200405,0.0863,-0.0031,0.0067,134.1576
200406,0.086,0.0017,0.0179,135.0635
200407,0.0857,0.0009,-0.0266,136.1904
200408,0.0876,0.0274,0.0331,130.2841
200409,0.0861,-0.0116,0.0228,134.7965
200410,0.088,0.0262,0.0373,129.2672
200411,0.0883,0.0096,0.0385,128.1735
200412,0.0895,0.0192,0.0375,124.7077
200501,0.0768,-0.1367,-0.0287,169.4744
200502,0.0772,0.0087,0.0211,167.7927
200503,0.0748,-0.027,-0.0311,178.6069
200504,0.0743,-0.0039,-0.0071,181.2229
200505,0.0749,0.0112,0.0006,178.3744
200506,0.0761,0.0193,0.0144,172.8033
200507,0.0775,0.0221,0.0228,166.5701
200508,0.0765,-0.0094,0.003,171.0542
200509,0.0793,0.0407,0.0357,159.0216
200510,0.0792,0.0027,0.0063,159.4729
200511,0.0823,0.0428,0.0509,147.8071
200512,0.0833,0.017,0.019,144.185
200601,0.0809,-0.0244,0.0419,152.9592
200602,0.0849,0.0538,0.0348,138.867
200603,0.0846,0.0013,0.0107,139.8673
200604,0.0861,0.0233,0.0477,134.8395
200605,0.0817,-0.0467,-0.0346,149.9549
200606,0.0797,-0.0194,-0.0092,157.3678
200607,0.0777,-0.0209,0.0319,165.5438
200608,0.079,0.0204,0.0265,160.1966
200609,0.0814,0.0346,0.0355,150.8428
200610,0.0829,0.0224,0.0305,145.5485
200611,0.0807,-0.022,0.0087,153.627
200612,0.0818,0.0182,0.0223,149.4307
200701,0.076,-0.0671,0.0148,173.336
200702,0.0728,-0.0383,-0.0296,188.7908
200703,0.0703,-0.031,0.0105,202.2787
200704,0.0734,0.0463,0.069,185.6453
200705,0.0746,0.0196,0.0239,179.6493
200706,0.0704,-0.0535,-0.0433,201.9464
200707,0.0673,-0.0412,-0.0428,220.8107
200708,0.0641,-0.0454,-0.0268,243.2232
200709,0.0644,0.0057,0.037,240.9789
200710,0.0653,0.0146,0.0292,234.6269
200711,0.0605,-0.0712,-0.0615,272.7561
200712,0.0568,-0.0617,-0.0563,309.9218
200801,0.0516,-0.0931,-0.0386,376.0284
200802,0.0477,-0.0787,-0.0676,440.3996
200803,0.0446,-0.069,-0.0239,503.4633
200804,0.047,0.0488,0.0854,452.7729
200805,0.0447,-0.0538,-0.0579,500.8182
200806,0.0397,-0.117,-0.1524,634.0744
200807,0.0435,0.0868,0.0857,528.5845
200808,0.0438,0.001,-0.0333,520.9536
200809,0.0447,0.013,-0.0253,501.5538
200810,0.0357,-0.2066,-0.2343,785.4799
200811,0.0277,-0.2342,-0.1799,1300.6904
200812,0.026,-0.0829,-0.0543,1483.2013
200901,0.0249,-0.0627,-0.184,1612.4413
200902,0.0223,-0.1284,-0.1144,2012.9658
200903,0.0265,0.1607,0.1457,1424.1933
200904,0.034,0.2632,0.3055,863.6089
200905,0.0385,0.1178,0.1684,675.7354
200906,0.0401,0.0342,-0.0171,620.5691
200907,0.046,0.1377,0.1352,472.5785
200908,0.0504,0.0911,0.1013,393.3297
200909,0.052,0.028,0.025,369.8997
200910,0.0488,-0.0638,-0.0633,419.7777
200911,0.0495,0.0101,0.0278,408.3581
200912,0.0505,0.0165,-0.0175,392.4792
201001,0.0467,-0.0789,-0.0699,459.4708
201002,0.0507,0.0817,0.0586,389.2605
201003,0.0544,0.0696,0.0809,338.3008
201004,0.0535,-0.0171,-0.0145,348.9782
201005,0.049,-0.0868,-0.1097,416.6298
201006,0.046,-0.0649,-0.0519,472.6668
201007,0.0508,0.0986,0.1305,388.0431
201008,0.0475,-0.0679,-0.0719,443.7669
201009,0.048,0.0075,0.0484,433.4138
201010,0.0482,-0.0014,0.0022,431.0283
201011,0.0466,-0.0367,-0.0491,460.646
201012,0.0495,0.058,0.0724,407.8335
201101,0.0504,0.0142,0.0512,393.7598
201102,0.0534,0.0572,0.0658,350.2038
201103,0.0507,-0.0538,-0.0447,389.4913
201104,0.0506,-0.0053,0.0256,391.2422
201105,0.0499,-0.0151,-0.0316,400.827
201106,0.048,-0.0432,-0.036,434.7743
