yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
197806,0.0379,-0.0889,-0.0326,696.4982
197807,0.0404,0.0567,0.0673,612.4851
197808,0.0427,0.0477,0.06,549.5043
197809,0.0408,-0.051,-0.0097,601.545
197810,0.0366,-0.1098,-0.1016,745.9725
197811,0.0367,-0.0072,0.0038,740.944
197812,0.0346,-0.0677,-0.0009,833.5422
197901,0.0354,0.0103,0.027,797.2628
197902,0.0337,-0.0604,-0.0494,881.3632
197903,0.0351,0.0288,0.0633,812.1388
197904,0.0355,-0.0005,0.016,794.1715
197905,0.0355,-0.0099,0.0048,791.7421
197906,0.0361,0.0038,0.0846,768.1275
197907,0.0369,0.0112,0.025,735.0927
197908,0.0382,0.0242,0.0396,686.7798
197909,0.0349,-0.0944,-0.0321,820.1747
197910,0.0311,-0.1203,-0.1098,1031.6186
197911,0.0326,0.0318,0.0522,940.7413
197912,0.0323,-0.0241,0.0248,960.1299
198001,0.032,-0.024,-0.0047,979.1447
198002,0.029,-0.108,-0.0953,1191.222
198003,0.0281,-0.0469,-0.0066,1263.7981
198004,0.0303,0.0569,0.083,1092.1214
198005,0.032,0.0421,0.0633,974.9123
198006,0.0319,-0.0193,0.0455,984.4025
198007,0.0324,0.0004,0.0157,955.4375
198008,0.0323,-0.0155,0.0022,957.9942
198009,0.0313,-0.0456,-0.0138,1020.9511
198010,0.031,-0.0254,-0.009,1041.9428
198011,0.0323,0.0264,0.0457,959.7003
198012,0.0351,0.0722,0.1275,813.0171
198101,0.034,-0.0411,-0.0265,862.8248
198102,0.0353,0.0254,0.0382,800.7625
198103,0.0352,-0.0148,0.0206,805.8998
198104,0.0357,0.0031,0.0197,782.5371
198105,0.0409,0.133,0.0755,597.6764
198106,0.0393,-0.0464,0.004,646.6597
198107,0.0388,-0.0212,-0.0427,663.0614
198108,0.0372,-0.0524,-0.042,724.4613
198109,0.0354,-0.0573,-0.0159,797.8891
198110,0.0377,0.054,0.0739,702.7311
198111,0.0389,0.0221,0.0331,659.9442
198112,0.0359,-0.0864,-0.0516,775.3599
198201,0.0356,-0.0207,-0.005,790.4363
198202,0.0352,-0.0229,-0.0115,808.9679
198203,0.0338,-0.0512,-0.0335,876.8739
198204,0.0348,0.017,0.0333,826.636
198205,0.0315,-0.1052,-0.097,1005.1544
198206,0.0301,-0.0618,-0.0278,1106.3726
198207,0.0291,-0.0486,-0.0289,1180.9064
198208,0.0327,0.1067,0.1332,934.1313
198209,0.0333,0.0043,0.067,901.0387
198210,0.0416,0.2364,0.2651,576.915
198211,0.0449,0.0702,0.0801,496.8488
198212,0.0406,-0.0997,-0.0683,605.3885
198301,0.042,0.0249,0.0393,567.5442
198302,0.0452,0.0694,0.0802,489.7659
198303,0.0494,0.0881,0.0873,409.6031
198304,0.0551,0.1125,0.1258,328.828
198305,0.0538,-0.0259,-0.0314,345.5346
198306,0.0539,-0.0006,0.0083,344.6621
198307,0.0498,-0.0778,-0.0786,403.652
198308,0.0494,-0.0115,-0.006,410.2902
198309,0.0466,-0.0605,-0.0536,461.3618
198310,0.043,-0.0809,-0.0761,540.5632
198311,0.0467,0.0797,0.0926,458.1133
198312,0.0453,-0.0351,-0.0071,487.3053
198401,0.0458,0.0046,0.0122,477.7099
198402,0.0433,-0.0595,-0.0594,534.2129
198403,0.0424,-0.0259,0.0104,555.7084
198404,0.0411,-0.0376,-0.0284,591.4542
198405,0.0361,-0.1297,-0.127,767.336
