yyyymmdd,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
20000103,0.12188585035158635,,-0.04857292057196427,67.31214292735763
20000104,0.130414795037719,0.07034828151964646,-0.037416447005454434,58.79579590267813
20000105,0.1294946585667953,-0.0066544744985796945,-0.0070321441210661195,59.63432258201462
20000106,0.1320676040042572,0.020267311807939996,0.0265162904150118,57.33336106897453
20000107,0.13240460279234406,0.002957629517253981,0.0039640401403753245,57.041880495810695
20000110,0.13128574405806495,-0.008043395751629386,-0.009145291320218352,58.01828142198499
20000111,0.1309528554549575,-0.0021320045070318695,-0.002706353886722468,58.31362699016297
20000112,0.1317332881724154,0.006362250961696386,0.0069470187446531995,57.62473422707339
20000113,0.13240780915267428,0.005525281572814892,0.006595009126418638,57.03911790031942
20000114,0.1351116191227237,0.020827235575542766,0.026146981566913752,54.779063481179854
20000118,0.13356184094910817,-0.01105567702906893,-0.01451233953496911,56.05769121053674
20000119,0.13390133636314563,0.00295212570368783,0.0028120927410963947,55.77379258117023
20000120,0.13181754318447642,-0.015150912312062286,-0.018426649398462613,57.55109272386025
20000121,0.1313600120869314,-0.003065764915864962,-0.003560348986509587,57.95269547612634
20000124,0.12969267125266876,-0.012289089903532615,-0.012711148391610028,59.45236414335448
20000125,0.12987244334875922,0.0017849325386955172,0.0027474905893429824,59.28788769776413
20000126,0.13367100142037808,0.029647717672780006,0.03488714547005989,55.96617120524174
20000127,0.13666500630116826,0.022808893049098774,0.025282201861112963,53.54086071546925
20000128,0.1326948833174167,-0.028631034756479923,-0.02756554493905161,56.79258624298741
20000131,0.13355929807276798,0.006922057373955591,0.013262862415122312,56.05982582992644
20000201,0.13362096930362305,0.0008720107175262765,0.0019773715744364484,56.008090228174844
20000202,0.13361506377100485,0.0003662403787657837,0.0007424827687125823,56.013041240490665
20000203,0.133838718040303,0.0020842897090582175,0.0017746027093969996,55.82599389331199
20000204,0.13225214690299694,-0.01144328904287721,-0.010554693556413586,57.17346827368229
20000207,0.13172248419003327,-0.0035984880919598537,-0.0035439488532177377,57.63418746733539
20000208,0.13474126396943217,0.0233226221043264,0.024386677797738177,55.08061312754831
20000209,0.13346926015694224,-0.009026710887852955,-0.011096060125704632,56.13548688311534
20000210,0.13301964760737744,-0.0029586603388756494,-0.002924318572330553,56.51560928904016
20000211,0.1325164881393168,-0.003373896273679309,-0.0016880106206126344,56.94559879659584
20000214,0.13044181439387517,-0.01524873416575165,-0.01698656590508929,58.771440828720955
20000215,0.13137785261227128,0.007576974009932395,0.007015057891766707,57.93695711061563
20000216,0.13117020015689101,-0.0011767009127549028,-0.003148042276857388,58.12053957349996
20000217,0.1297115842448148,-0.010716770606611595,-0.011471738827337541,59.43502814167413
20000218,0.1272558207602765,-0.018533640560647175,-0.01947743397045054,61.751098434856246
20000222,0.1263298171320028,-0.006885499991928394,-0.002311136250526702,62.65969333285341
20000223,0.1288936210477122,0.020682778057625438,0.025179129370825892,60.19177503971391
20000224,0.12884352829427745,7.701740788547346e-6,0.0010360133725351162,60.23858775768794
20000225,0.12725684487373295,-0.011918625620730707,-0.0033981655037824687,61.75010454134184
20000228,0.12890337998870788,0.013329888903945644,0.008713574308640615,60.18266145796734
20000229,0.13053378325090542,0.01304462674135811,0.024565102546086015,58.68865401320871
20000301,0.13205753356109604,0.012074570967029604,0.009902850825773024,57.34210565707859
20000302,0.13191011371660213,-0.0007104448381648593,0.002253499911624157,57.47034583074994
20000303,0.13278915764347404,0.007069412476254441,0.008229777129525884,56.711974507674434
20000306,0.13198755887171718,-0.005628599594690981,-0.005046360602096178,57.402922899263416
20000307,0.13171836185531474,-0.0016338841724134888,-0.003209657772714536,57.637795030114965
20000308,0.13079349799780055,-0.0066166415965965885,-0.007755918449587784,58.45581100587008
20000309,0.1309275829627537,0.0014272920122572123,0.0018872368677220752,58.33614131273222
20000310,0.13053334326314375,-0.0026085990918033653,-0.003021224796700417,58.689049656687814
20000313,0.12926987001084173,-0.009277970306112252,-0.008473684160243966,59.841900239425534
20000314,0.12815447394575188,-0.008230932311966428,-0.01029237674133221,60.8881046677773
20000315,0.1303967246002022,0.01789050777200192,0.021867563343019647,58.8120929282033
20000316,0.1361645371109467,0.04463373377403214,0.05090476832663815,53.9351600675469
20000317,0.13885211833477346,0.020155364453108372,0.02495953925113059,51.8674599760439
20000320,0.13659130197521124,-0.015857269960497838,-0.017041783524344156,53.5986573345962
20000321,0.13864340210450396,0.015442447317361394,0.018935390717379708,52.02374190602788
20000322,0.13980297697587493,0.008788083617150482,0.00877171636424845,51.16431466022491
20000323,0.14379582455313208,0.028987967756431518,0.03267135613247185,48.36235593710017
20000324,0.1448599169773047,0.007837659401635451,0.006820738925806147,47.654458179454814
20000327,0.14257327062866001,-0.01534496459486165,-0.016202210687373042,49.195318332969194
20000328,0.1433656769816069,0.005992461917348018,0.006462739633097847,48.65299953450759
20000329,0.14294678717220224,-0.002485263152163672,-0.002838280167944962,48.93856183552829
20000330,0.14107284208393045,-0.012673874648390109,-0.016051916854515347,50.24735068957765
20000331,0.13975388462102034,-0.008918736574502149,0.0011399426536844448,51.20026668922159
20000403,0.14305923968174586,0.024078562546109208,0.030946671901382228,48.86165521742445
20000404,0.14027383643899785,-0.01903448138826947,-0.023355414922130557,50.821402985765594
20000405,0.13928533861198283,-0.006618247442166677,-0.004763665895033742,51.54531421039185
20000406,0.13947790256142797,0.0018085831985572185,0.0034075626429406203,51.40308497820362
