yyyyq,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
19701,0.0756,0.0225,0.0293,174.8429
19702,0.0662,-0.1123,-0.1495,228.1091
19703,0.07,0.0639,0.1186,203.8182
19704,0.0725,0.0442,0.0614,190.1067
19711,0.0761,0.0601,0.109,172.5107
19712,0.0632,-0.1574,-0.1331,250.3768
19713,0.0615,-0.0238,0.0004,264.677
19714,0.0786,0.2809,0.0727,161.8508
19721,0.0896,0.1539,0.091,124.5437
19722,0.0774,-0.1167,-0.0573,166.7841
19723,0.0819,0.0711,0.1142,149.0376
19724,0.0791,-0.0184,0.0013,159.7084
19731,0.0673,-0.135,-0.1175,220.6194
19732,0.0627,-0.0619,-0.0249,254.3526
19733,0.0676,0.0809,0.1724,218.9789
19734,0.0608,-0.0938,-0.0547,270.8155
19741,0.0616,0.0155,-0.0203,263.3733
19742,0.0421,-0.3143,-0.2595,563.8577
19743,0.0321,-0.2601,-0.2211,969.2521
19744,0.0372,0.1093,0.1886,724.3574
19751,0.0455,0.1924,0.1848,482.0331
19752,0.0516,0.1158,0.2025,375.6953
19753,0.0391,-0.25,-0.2523,653.2799
19754,0.0412,0.0233,0.0996,590.0998
19761,0.0504,0.1992,0.2397,393.9931
19762,0.0512,0.0061,0.0464,381.6905
19763,0.0459,-0.1123,-0.0872,474.93
19764,0.048,0.0303,0.1254,433.557
19771,0.0423,-0.133,-0.1125,559.683
19772,0.0468,0.085,0.0378,456.2955
19773,0.0434,-0.0885,-0.0323,531.7023
19774,0.0389,-0.1246,-0.044,662.3317
19781,0.0368,-0.0814,-0.0344,736.8426
19782,0.0379,-0.0056,0.0914,696.4982
19783,0.0408,0.0444,0.1204,601.545
19784,0.0346,-0.1759,-0.099,833.5422
19791,0.0351,-0.0268,0.0381,812.1388
19792,0.0361,-0.0104,0.1073,768.1275
19793,0.0349,-0.0683,0.0313,820.1747
19794,0.0323,-0.1149,-0.0401,960.1299
19801,0.0281,-0.1754,-0.1054,1263.7981
19802,0.0319,0.0709,0.204,984.4025
19803,0.0313,-0.0664,0.0039,1020.9511
19804,0.0351,0.0704,0.1685,813.0171
19811,0.0352,-0.0343,0.0314,805.8998
19812,0.0393,0.078,0.1012,646.6597
19813,0.0354,-0.1282,-0.0975,797.8891
19814,0.0359,-0.0234,0.0522,775.3599
19821,0.0338,-0.0962,-0.0494,876.8739
19822,0.0301,-0.1521,-0.0929,1106.3726
19823,0.0333,0.0535,0.1742,901.0387
19824,0.0406,0.1762,0.2731,605.3885
19831,0.0494,0.19,0.2208,409.6031
19832,0.0539,0.079,0.0994,344.6621
