"","Sample","model","train_MAE","train_MSE","train_RMSE","train_RSquare","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"1",1,"LM_MSE",0.186669199762599,0.0822898712866022,0.286862111974729,0.0971766008579267,0.903949839542423,13.1944475911711,3.63241621942904,-268.884045884521,0.247457458204877,0.130166431419658,0.360785852576924,-2.15105805654999
"2",1,"LM_MAE",0.183284570466435,0.0854730477243407,0.292357739292704,0.0622531512686223,1.10072314930643,23.0552155168964,4.80158468808959,-470.579791381575,0.214054690604664,0.102847624649448,0.320698650838209,-1.48972667310697
"3",1,"ELN_MSE",0.195984675325769,0.0897406845283439,0.29956749578074,0.0154318073358448,0.156540380828475,0.0475889215612845,0.218148851844983,0.0265988324638443,0.133887462026313,0.0399474185124452,0.199868503052495,0.0329562424878426
"4",1,"ELN_MAE",0.195223282262527,0.0911734398935469,0.301949399558183,-0.000287321260753481,0.155171966534301,0.0478970397714533,0.218853923363172,0.0202964701560276,0.131338419825179,0.0404652385817609,0.201159733997042,0.0204208976722507
"5",1,"RF_MSE",0.108609105992374,0.0292056012065711,0.170896463411538,0.679577817499912,0.206238393011181,0.079723463881203,0.282353437877429,-0.630692822531255,0.129226353448532,0.0358687641917023,0.189390507131964,0.131691964264097
"6",1,"RF_MAE",0.125019634649209,0.0438635536039589,0.20943627575938,0.518761641693998,0.191581747451049,0.070452146168165,0.265428231671322,-0.441053906783861,0.124318664777104,0.0351030053847307,0.187357960558741,0.150229389249673
"7",1,"NN1_MSE",0.191341893385472,0.0861100840122465,0.293445197630233,0.0552640618724213,0.25684900759891,0.150597273454561,0.388068645286579,-2.08037158647632,0.153785410428882,0.0487259336189857,0.220739515309302,-0.179553315078723
"8",1,"NN1_MAE",0.185964543633532,0.0863139940701487,0.293792433650271,0.0530269120419957,0.268082673140019,0.141207429489307,0.375775770226484,-1.88830829151408,0.154533590996752,0.0488542635517886,0.221030005998707,-0.182659915330761
"9",1,"NN2_MSE",0.194990091520525,0.0869213788280026,0.294824318583123,0.0463631372286551,0.229971361242575,0.110947756777969,0.333088211706702,-1.26936590366132,0.158513339239634,0.0570608370025119,0.238874102829319,-0.381323957254134
"10",1,"NN2_MAE",0.188656022349224,0.0884319116644538,0.297375035375288,0.0297906919374128,0.230019520081416,0.109803897936856,0.331366712173773,-1.2459689975137,0.138489323903735,0.0433642987743398,0.208240963247724,-0.0497593083656438
"11",1,"NN3_MSE",0.191673188346082,0.0860934095666752,0.293416784739175,0.0554470015148599,0.225464259974515,0.102414508536189,0.320022668784868,-1.09482373021183,0.167391961253411,0.0585075032063664,0.2418832429218,-0.416344731405171
"12",1,"NN3_MAE",0.186491831601292,0.0869608198581056,0.294891200035039,0.0459304195161773,0.250340036803739,0.122908026464851,0.350582410375722,-1.51400562432122,0.144456555864525,0.0452928169315367,0.212821091369105,-0.0964447141969409
"13",1,"NN4_MSE",0.18887480539724,0.0860865698343605,0.293405129188909,0.0555220419819435,0.218812191117425,0.101809097911718,0.319075379670257,-1.08244044037535,0.147988709017804,0.0472113475443473,0.217281723907804,-0.14288834239125
"14",1,"NN4_MAE",0.190603719902112,0.0899724318682217,0.299954049594637,0.0128892475060706,0.219997022477919,0.0951500465221518,0.30846401171312,-0.946233773263976,0.158509906879156,0.0520212512910125,0.228081676798055,-0.259326088950462
"15",1,"NN5_MSE",0.190305265438894,0.0875538788526105,0.295895047022775,0.0394238163469254,0.210059901425553,0.0930731114418392,0.305078861020948,-0.903751385226046,0.153186948326034,0.0500531723277431,0.223725663095996,-0.211682998443181
"16",1,"NN5_MAE",0.189373040661111,0.0894964483838484,0.299159570102393,0.0181113850617455,0.208881715559374,0.0893198904863504,0.298864334584022,-0.82698163419504,0.149496314231146,0.050778899466592,0.225341739290776,-0.229251340163744
"17",2,"LM_MSE",0.182959440838093,0.0794289630921683,0.281831444470216,0.0974206776276483,0.766640834023713,8.07827973554667,2.84223147114141,-163.079260408457,0.5410889054484,0.700574259918631,0.837003142119927,-15.4244680108787
"18",2,"LM_MAE",0.179777595378131,0.082350758675233,0.286968218928914,0.0642192838940677,0.73451886547267,6.12672580709225,2.47522237528111,-123.440929512461,0.372682546786786,0.259976012740797,0.509878429373902,-5.0949537388841
"19",2,"ELN_MSE",0.192365396397927,0.0866020469237394,0.294282257235701,0.0159103960883203,0.156394610177131,0.0479313566602301,0.218932310681247,0.026458378684464,0.140401838866602,0.0427699854312613,0.206809055486604,-0.00271205742427671
"20",2,"ELN_MAE",0.191626474927482,0.087889072520932,0.296460912298623,0.00128547029088799,0.154531631386773,0.0478742714937403,0.218801900114556,0.0276178448337634,0.137082865381024,0.0418038685429939,0.204459943614865,0.0199378696911735
"21",2,"RF_MSE",0.102197541623678,0.0258808074066526,0.160875129857454,0.705907257225053,0.19709253314426,0.0738473464422035,0.27174868250316,-0.499925526724028,0.198913644023308,0.0727487005705484,0.269719670344134,-0.705541830059166
"22",2,"RF_MAE",0.117657051393704,0.0395064458519078,0.19876228478237,0.55107432178136,0.175337055087022,0.0603278175257385,0.245617217486353,-0.225328164624359,0.167844714370685,0.0535783297286375,0.231469932666508,-0.256106044784643
"23",2,"NN1_MSE",0.186277189291232,0.0816125190849491,0.285679049082969,0.0726081607370613,0.290031091509229,0.181836473120765,0.426422880625284,-2.69331033359152,0.221018609514368,0.0848667305168958,0.291318949807416,-0.989640471125095
"24",2,"NN1_MAE",0.182446066094372,0.0827254299779475,0.287620287841361,0.0599617617339963,0.25655005060676,0.136616100182181,0.369616152490906,-1.77483194585896,0.199647353825995,0.0736991032666165,0.271475787625004,-0.727823349053077
"25",2,"NN2_MSE",0.186657800445194,0.08206994046607,0.286478516587318,0.0674103202499379,0.256416790311812,0.130904883998418,0.36180779980318,-1.65883050023667,0.233631202058622,0.0950038990173733,0.308227025124945,-1.22729921664669
"26",2,"NN2_MAE",0.183598758904867,0.0844916961820361,0.29067455372295,0.0398910558912724,0.244448730857969,0.114365202098014,0.33817924551636,-1.32289031712222,0.21525335745047,0.0787924887396759,0.280699997755034,-0.847234168941114
"27",2,"NN3_MSE",0.189424518060873,0.083963135638146,0.289763930878476,0.0458972757758692,0.207097279713782,0.0816912680623629,0.285816843559583,-0.659244701136174,0.197539585455286,0.0712933224075369,0.267008094273445,-0.671421518409561
"28",2,"NN3_MAE",0.182833325732224,0.0832580300231476,0.28854467595703,0.0539096395712734,0.249054300894413,0.122127959760683,0.349468109790698,-1.48056095712446,0.21037175488354,0.077746983436761,0.278831460629465,-0.82272303659531
"29",2,"NN4_MSE",0.187536987914862,0.0828577416952609,0.287850207043978,0.0584582570235539,0.231276116604027,0.11196013022734,0.334604438445368,-1.27404050915716,0.184276570084696,0.064246978847104,0.253469877593185,-0.506224977481218
"30",2,"NN4_MAE",0.184366782870377,0.0852683358330951,0.292007424277355,0.0310658256139122,0.219489263600726,0.0943967841947238,0.307240596592839,-0.917308516496788,0.186429587099306,0.0630322468091829,0.251062236923801,-0.477746444026477
"31",2,"NN5_MSE",0.187293620471697,0.0833010061269627,0.288619136799628,0.0534212869458645,0.208593902532753,0.0865780105663541,0.294241415450569,-0.75850012705727,0.181621752820863,0.0603127326947403,0.245586507558417,-0.413989359113045
"32",2,"NN5_MAE",0.185813924808357,0.0855395294862321,0.292471416528577,0.027984156482766,0.194189462633643,0.0746274672684135,0.273180283454743,-0.515770688365378,0.165725708220048,0.053988070191353,0.232353330493352,-0.265712120125484
"33",3,"LM_MSE",0.181784245048351,0.077687461669364,0.27872470588264,0.0897699176152874,0.352526877491379,0.308945665451194,0.555828809482915,-5.22246654142308,0.615714027934605,1.18899113685485,1.09040870175125,-25.2792377159013
"34",3,"LM_MAE",0.178764878622093,0.0804619136604353,0.283658092887256,0.0572628745205701,0.361840437017306,0.340195961213344,0.583263200633594,-5.8518779283916,0.507396831800065,0.766372731260015,0.875427170734388,-15.9384704052888
"35",3,"ELN_MSE",0.189618884249894,0.0840270052628494,0.289874119684475,0.0154922521673089,0.155013465188856,0.0482162341444072,0.219581953139157,0.0288780932439051,0.144330159123397,0.0437610042732273,0.209191310223984,0.0327885563346243
"36",3,"ELN_MAE",0.188219393064708,0.0848921963145374,0.291362654289354,0.00535518621954767,0.154025334154285,0.0483887787397608,0.219974495657476,0.025402877076287,0.146589491817423,0.0453619769125551,0.212983513241178,-0.00259635046698659
"37",3,"RF_MSE",0.0978685777442602,0.0240847759992245,0.15519270601167,0.717809191201356,0.174940486738661,0.0590044620636685,0.242908340868873,-0.188407322205482,0.16806829695213,0.0577698874098291,0.240353671513104,-0.27683761216219
"38",3,"RF_MAE",0.112513325408458,0.0368134308181055,0.191868264228625,0.568673097995655,0.160860175219271,0.0516217175146103,0.227204131816766,-0.0397116579588319,0.154630291644869,0.0515941939655272,0.22714355365171,-0.140341627412766
"39",3,"NN1_MSE",0.185107765900178,0.080363609495885,0.283484760606077,0.0584146615126354,0.206171707019038,0.0871781955782045,0.295259539351745,-0.755853749670782,0.172556947764233,0.0583537584548908,0.241565226087885,-0.289742406414228
"40",3,"NN1_MAE",0.182353442013073,0.0820092694126135,0.286372605904639,0.0391331825018247,0.199237471417526,0.0841747449645159,0.290128842007333,-0.695361329668061,0.17634762586255,0.061358548782729,0.247706577996486,-0.356154675491843
"41",3,"NN2_MSE",0.185452143717805,0.0809693018997435,0.284551053239561,0.051318027965638,0.19067842473206,0.0757661289800421,0.275256478543271,-0.526003615758561,0.154082781215171,0.0483531745985091,0.219893552880727,-0.0687081931947373
"42",3,"NN2_MAE",0.183352625622902,0.0825224024204247,0.287267127288217,0.0331210270015962,0.178056525872451,0.064639481033576,0.254242956703969,-0.301902091421051,0.16445928485192,0.055049244420029,0.234625753957295,-0.21670560473766
"43",3,"NN3_MSE",0.184386052631114,0.0808790577481679,0.284392436165535,0.0523753793033986,0.187551985285538,0.0715215142816654,0.267435065542396,-0.440512942493058,0.156872520916058,0.0496015039917484,0.222713951048758,-0.0962989328191388
"44",3,"NN3_MAE",0.183914915577828,0.0830355030791763,0.288158815723511,0.0271092505211799,0.178558604933726,0.0647093777699335,0.254380380080567,-0.303309879754006,0.159841234374392,0.0515200937663246,0.226980381897477,-0.138703855112131
"45",3,"NN4_MSE",0.185379673193961,0.0819215170527395,0.286219351289775,0.0401613386037387,0.172564385043043,0.059222636895729,0.243357015300009,-0.192801575773319,0.152214299812471,0.0481848177530695,0.219510404657887,-0.0649871481631406
