"","model","sample","variable","importance"
"96","NN5_MAE",3,"ind_age",0.0135172293971801
"97","LM_MSE",1,"ind_agr",0.00138653119349233
"98","LM_MAE",1,"ind_agr",0.001419196880617
"99","ELN_MSE",1,"ind_agr",2.55733697757946e-99
"100","ELN_MAE",1,"ind_agr",0.00171367789821392
"101","RF_MSE",1,"ind_agr",0.0141704334976591
"102","RF_MAE",1,"ind_agr",0.0149683296219119
"103","NN1_MSE",1,"ind_agr",0.0139518776721004
"104","NN1_MAE",1,"ind_agr",0.0139838116482732
"105","NN2_MSE",1,"ind_agr",0.0140188367603696
"106","NN2_MAE",1,"ind_agr",0.0139696182442251
"107","NN3_MSE",1,"ind_agr",0.0139176797805902
"108","NN3_MAE",1,"ind_agr",0.013953624339645
"109","NN4_MSE",1,"ind_agr",0.0139655492980314
"110","NN4_MAE",1,"ind_agr",0.0138141332822618
"111","NN5_MSE",1,"ind_agr",0.0140308301609223
"112","NN5_MAE",1,"ind_agr",0.0139077777557115
"113","LM_MSE",2,"ind_agr",0.0011057609889647
"114","LM_MAE",2,"ind_agr",0.00114134096297641
"115","ELN_MSE",2,"ind_agr",0.0138888888888889
"116","ELN_MAE",2,"ind_agr",0.0120849403914289
"117","RF_MSE",2,"ind_agr",0.0101764883850289
"118","RF_MAE",2,"ind_agr",0.0135363249617968
"119","NN1_MSE",2,"ind_agr",0.0139943248709512
"120","NN1_MAE",2,"ind_agr",0.013908501959136
"121","NN2_MSE",2,"ind_agr",0.0140135603039505
"122","NN2_MAE",2,"ind_agr",0.0140406924953944
"123","NN3_MSE",2,"ind_agr",0.0140300799109792
"124","NN3_MAE",2,"ind_agr",0.0141411805142089
"125","NN4_MSE",2,"ind_agr",0.0138844911583184
"126","NN4_MAE",2,"ind_agr",0.0138922119680592
"127","NN5_MSE",2,"ind_agr",0.0135262352644324
"128","NN5_MAE",2,"ind_agr",0.0135507342984122
"129","LM_MSE",3,"ind_agr",0.0115263389864546
"130","LM_MAE",3,"ind_agr",0.0123127201272898
"131","ELN_MSE",3,"ind_agr",0.00546129489981167
"132","ELN_MAE",3,"ind_agr",0.0138747188491243
"133","RF_MSE",3,"ind_agr",0.0159456839416332
"134","RF_MAE",3,"ind_agr",0.0144598986296109
"135","NN1_MSE",3,"ind_agr",0.0123473306937343
"136","NN1_MAE",3,"ind_agr",0.0139791307701177
"137","NN2_MSE",3,"ind_agr",0.0137073857368866
"138","NN2_MAE",3,"ind_agr",0.0133642919218628
"139","NN3_MSE",3,"ind_agr",0.0127089302942325
"140","NN3_MAE",3,"ind_agr",0.0128114025218184
"141","NN4_MSE",3,"ind_agr",0.0137129536650091
"142","NN4_MAE",3,"ind_agr",0.0141315229904125
"143","NN5_MSE",3,"ind_agr",0.0126506947806489
"144","NN5_MAE",3,"ind_agr",0.013345940219954
"145","LM_MSE",1,"ind_baspread",0.00140045664818661
"146","LM_MAE",1,"ind_baspread",0.00143376632178982
"147","ELN_MSE",1,"ind_baspread",2.55733697757946e-99
"148","ELN_MAE",1,"ind_baspread",0.00171367789821392
"149","RF_MSE",1,"ind_baspread",0.0127972686946032
"150","RF_MAE",1,"ind_baspread",0.0135696948840288
"151","NN1_MSE",1,"ind_baspread",0.0139430105894135
"152","NN1_MAE",1,"ind_baspread",0.0139837807927042
"153","NN2_MSE",1,"ind_baspread",0.0140048074962694
"154","NN2_MAE",1,"ind_baspread",0.0139590929628099
"155","NN3_MSE",1,"ind_baspread",0.0139190616097494
"156","NN3_MAE",1,"ind_baspread",0.0139445188673363
"157","NN4_MSE",1,"ind_baspread",0.0139456811582823
"158","NN4_MAE",1,"ind_baspread",0.0138404244600148
"159","NN5_MSE",1,"ind_baspread",0.0139153186628056
"160","NN5_MAE",1,"ind_baspread",0.0139271805784983
"161","LM_MSE",2,"ind_baspread",0.00118075508905812
"162","LM_MAE",2,"ind_baspread",0.0011849926723818
"163","ELN_MSE",2,"ind_baspread",0.0138888888888889
"164","ELN_MAE",2,"ind_baspread",0.0120849403914289
"165","RF_MSE",2,"ind_baspread",0.0202552984660643
"166","RF_MAE",2,"ind_baspread",0.014864753051239
"167","NN1_MSE",2,"ind_baspread",0.0139916329763669
"168","NN1_MAE",2,"ind_baspread",0.0139936979519284
"169","NN2_MSE",2,"ind_baspread",0.0139856299995936
"170","NN2_MAE",2,"ind_baspread",0.0140963419472659
"171","NN3_MSE",2,"ind_baspread",0.0141775422545004
"172","NN3_MAE",2,"ind_baspread",0.0141613620113725
"173","NN4_MSE",2,"ind_baspread",0.0138968347147031
"174","NN4_MAE",2,"ind_baspread",0.0138947658672411
"175","NN5_MSE",2,"ind_baspread",0.0134832682497952
"176","NN5_MAE",2,"ind_baspread",0.0135925985943368
"177","LM_MSE",3,"ind_baspread",0.0115304041461171
"178","LM_MAE",3,"ind_baspread",0.0123223464493032
"179","ELN_MSE",3,"ind_baspread",0.00546129489981167
"180","ELN_MAE",3,"ind_baspread",0.0138747188491243
"181","RF_MSE",3,"ind_baspread",0.0154774879147335
"182","RF_MAE",3,"ind_baspread",0.0170282390502402
"183","NN1_MSE",3,"ind_baspread",0.0123279881207986
"184","NN1_MAE",3,"ind_baspread",0.0140398840163703
"185","NN2_MSE",3,"ind_baspread",0.013731999881158
"186","NN2_MAE",3,"ind_baspread",0.0132794747468757
"187","NN3_MSE",3,"ind_baspread",0.0127096723164796
"188","NN3_MAE",3,"ind_baspread",0.0128748303711844
"189","NN4_MSE",3,"ind_baspread",0.0136518656982641
"190","NN4_MAE",3,"ind_baspread",0.0142150151133735
"191","NN5_MSE",3,"ind_baspread",0.0126198724904176
"192","NN5_MAE",3,"ind_baspread",0.0136411239992011
"193","LM_MSE",1,"ind_beta1",0.00130392825353017
"194","LM_MAE",1,"ind_beta1",0.0013466604769837
"195","ELN_MSE",1,"ind_beta1",2.55733697757946e-99
"196","ELN_MAE",1,"ind_beta1",0.00168866841268689
"197","RF_MSE",1,"ind_beta1",0.0122698273973747
"198","RF_MAE",1,"ind_beta1",0.0101411372785391
"199","NN1_MSE",1,"ind_beta1",0.0139419051296313
"200","NN1_MAE",1,"ind_beta1",0.0139245821854303
"201","NN2_MSE",1,"ind_beta1",0.0140147621827557
"202","NN2_MAE",1,"ind_beta1",0.0138611307789596
"203","NN3_MSE",1,"ind_beta1",0.013960986264948
"204","NN3_MAE",1,"ind_beta1",0.013922128857835
"205","NN4_MSE",1,"ind_beta1",0.0138926295414179
"206","NN4_MAE",1,"ind_beta1",0.0137345309137658
"207","NN5_MSE",1,"ind_beta1",0.0138027423311987
"208","NN5_MAE",1,"ind_beta1",0.0137927062964336
"209","LM_MSE",2,"ind_beta1",0
"210","LM_MAE",2,"ind_beta1",0.000181246627215398
"211","ELN_MSE",2,"ind_beta1",0.0138888888888889
"212","ELN_MAE",2,"ind_beta1",0.0120873984799967
"213","RF_MSE",2,"ind_beta1",0.0116466019298726
"214","RF_MAE",2,"ind_beta1",0.0118942712179756
"215","NN1_MSE",2,"ind_beta1",0.01430311354837
"216","NN1_MAE",2,"ind_beta1",0.0142695902365107
"217","NN2_MSE",2,"ind_beta1",0.0143610375557449
"218","NN2_MAE",2,"ind_beta1",0.0142000457922829
"219","NN3_MSE",2,"ind_beta1",0.0143311845608097
"220","NN3_MAE",2,"ind_beta1",0.0142912290088867
"221","NN4_MSE",2,"ind_beta1",0.0141106717594299
"222","NN4_MAE",2,"ind_beta1",0.0141959335829117
"223","NN5_MSE",2,"ind_beta1",0.0135921373865206
"224","NN5_MAE",2,"ind_beta1",0.013658138599391
"225","LM_MSE",3,"ind_beta1",0.0114902211890005
"226","LM_MAE",3,"ind_beta1",0.0122828881078628
"227","ELN_MSE",3,"ind_beta1",0.00546129489981167
"228","ELN_MAE",3,"ind_beta1",0.0138669564555977
"229","RF_MSE",3,"ind_beta1",0.0120413938353747
"230","RF_MAE",3,"ind_beta1",0.00957659434063602
"231","NN1_MSE",3,"ind_beta1",0.0120790671147816
"232","NN1_MAE",3,"ind_beta1",0.0137849603486869
"233","NN2_MSE",3,"ind_beta1",0.0136056417249663
"234","NN2_MAE",3,"ind_beta1",0.0130191219329068
"235","NN3_MSE",3,"ind_beta1",0.0127528157811664
"236","NN3_MAE",3,"ind_beta1",0.0124123052268877
"237","NN4_MSE",3,"ind_beta1",0.0134270212662285
"238","NN4_MAE",3,"ind_beta1",0.0140577558187119
"239","NN5_MSE",3,"ind_beta1",0.0124691092265023
"240","NN5_MAE",3,"ind_beta1",0.0129991354462568
"241","LM_MSE",1,"ind_betasq",0.00138948385705499
"242","LM_MAE",1,"ind_betasq",0.00141268228064328
"243","ELN_MSE",1,"ind_betasq",2.55733697757946e-99
"244","ELN_MAE",1,"ind_betasq",0.00171367789821392
"245","RF_MSE",1,"ind_betasq",0.0118173098743755
"246","RF_MAE",1,"ind_betasq",0.0111936193895433
"247","NN1_MSE",1,"ind_betasq",0.013967647017482
"248","NN1_MAE",1,"ind_betasq",0.0139412180538342
"249","NN2_MSE",1,"ind_betasq",0.0140347600496197
"250","NN2_MAE",1,"ind_betasq",0.013866718920661
"251","NN3_MSE",1,"ind_betasq",0.013957506509748
"252","NN3_MAE",1,"ind_betasq",0.0138864688701769
"253","NN4_MSE",1,"ind_betasq",0.0138816874591364
"254","NN4_MAE",1,"ind_betasq",0.0136652165019293
"255","NN5_MSE",1,"ind_betasq",0.0136860211358559
"256","NN5_MAE",1,"ind_betasq",0.0138514430866944
"257","LM_MSE",2,"ind_betasq",0.00122693800716276
"258","LM_MAE",2,"ind_betasq",0.00111264931675189
"259","ELN_MSE",2,"ind_betasq",0.0138888888888889
"260","ELN_MAE",2,"ind_betasq",0.0120849403914289
"261","RF_MSE",2,"ind_betasq",0.013854480858481
"262","RF_MAE",2,"ind_betasq",0.0108875324592392
"263","NN1_MSE",2,"ind_betasq",0.0141523262836569
"264","NN1_MAE",2,"ind_betasq",0.013988014758285
"265","NN2_MSE",2,"ind_betasq",0.0141321637829343
"266","NN2_MAE",2,"ind_betasq",0.0140589803809822
"267","NN3_MSE",2,"ind_betasq",0.0142745829010304
"268","NN3_MAE",2,"ind_betasq",0.0141191044569223
"269","NN4_MSE",2,"ind_betasq",0.0139206261855565
"270","NN4_MAE",2,"ind_betasq",0.0139671667763093
"271","NN5_MSE",2,"ind_betasq",0.0133571388540229
"272","NN5_MAE",2,"ind_betasq",0.0133598560652925
"273","LM_MSE",3,"ind_betasq",0.0115040721218662
"274","LM_MAE",3,"ind_betasq",0.0122775289440111
"275","ELN_MSE",3,"ind_betasq",0.00546129489981167
"276","ELN_MAE",3,"ind_betasq",0.0138747188491243
"277","RF_MSE",3,"ind_betasq",0.0145055438776074
"278","RF_MAE",3,"ind_betasq",0.0137200827317329
"279","NN1_MSE",3,"ind_betasq",0.0121071570084193
"280","NN1_MAE",3,"ind_betasq",0.013779660291085
"281","NN2_MSE",3,"ind_betasq",0.0135229091300687
"282","NN2_MAE",3,"ind_betasq",0.0131304126971642
"283","NN3_MSE",3,"ind_betasq",0.0125369787156567
"284","NN3_MAE",3,"ind_betasq",0.0123693672647662
"285","NN4_MSE",3,"ind_betasq",0.0135026127744526
"286","NN4_MAE",3,"ind_betasq",0.0139786467714087
"287","NN5_MSE",3,"ind_betasq",0.012402559132497
"288","NN5_MAE",3,"ind_betasq",0.0126600342710789
"289","LM_MSE",1,"ind_bm",0.00138150652003402
"290","LM_MAE",1,"ind_bm",0.00146680162883021
"291","ELN_MSE",1,"ind_bm",2.55733697757946e-99
"292","ELN_MAE",1,"ind_bm",0.00178139098214271
"293","RF_MSE",1,"ind_bm",0.0123852574350369
"294","RF_MAE",1,"ind_bm",0.0123533163305232
"295","NN1_MSE",1,"ind_bm",0.0139531571944688
"296","NN1_MAE",1,"ind_bm",0.0139697195437419
"297","NN2_MSE",1,"ind_bm",0.0139565749918506
"298","NN2_MAE",1,"ind_bm",0.0139631235281263
"299","NN3_MSE",1,"ind_bm",0.0139109348505254
"300","NN3_MAE",1,"ind_bm",0.0139477989691813
"301","NN4_MSE",1,"ind_bm",0.0139676082625731
"302","NN4_MAE",1,"ind_bm",0.0137672562872527
"303","NN5_MSE",1,"ind_bm",0.0140368794100867
"304","NN5_MAE",1,"ind_bm",0.0138396847564045
"305","LM_MSE",2,"ind_bm",0.00110406213841102
"306","LM_MAE",2,"ind_bm",0.00123655278709545
"307","ELN_MSE",2,"ind_bm",0.0138888888888889
"308","ELN_MAE",2,"ind_bm",0.0121536490879513
"309","RF_MSE",2,"ind_bm",0.0149758557878291
"310","RF_MAE",2,"ind_bm",0.00762296541863289
"311","NN1_MSE",2,"ind_bm",0.0139896787526905
"312","NN1_MAE",2,"ind_bm",0.0139200778410887
"313","NN2_MSE",2,"ind_bm",0.0139019808563726
"314","NN2_MAE",2,"ind_bm",0.0140724328790375
"315","NN3_MSE",2,"ind_bm",0.0138136143895
"316","NN3_MAE",2,"ind_bm",0.0141771215589001
"317","NN4_MSE",2,"ind_bm",0.0138810365759951
"318","NN4_MAE",2,"ind_bm",0.0139259840761027
"319","NN5_MSE",2,"ind_bm",0.0135046541477757
"320","NN5_MAE",2,"ind_bm",0.0137563542809554
"321","LM_MSE",3,"ind_bm",0.0115273150778382
"322","LM_MAE",3,"ind_bm",0.0123263638013154
"323","ELN_MSE",3,"ind_bm",0.00546129489981167
"324","ELN_MAE",3,"ind_bm",0.0139034908211571
"325","RF_MSE",3,"ind_bm",0.0210411391161588
"326","RF_MAE",3,"ind_bm",0.0113461823785263
"327","NN1_MSE",3,"ind_bm",0.0125618672002088
"328","NN1_MAE",3,"ind_bm",0.0140297863152122
"329","NN2_MSE",3,"ind_bm",0.0137837170268208
"330","NN2_MAE",3,"ind_bm",0.0132876354637256
"331","NN3_MSE",3,"ind_bm",0.0129992632393142
"332","NN3_MAE",3,"ind_bm",0.012830408753674
"333","NN4_MSE",3,"ind_bm",0.0138483507682051
"334","NN4_MAE",3,"ind_bm",0.0144007009221314
"335","NN5_MSE",3,"ind_bm",0.0127678167307482
"336","NN5_MAE",3,"ind_bm",0.0136039714325915
"337","LM_MSE",1,"ind_bm_ia",0.00139244268372394
"338","LM_MAE",1,"ind_bm_ia",0.00144394118885831
"339","ELN_MSE",1,"ind_bm_ia",2.55733697757946e-99
"340","ELN_MAE",1,"ind_bm_ia",0.00171367789821392
"341","RF_MSE",1,"ind_bm_ia",0.0150834972693163
"342","RF_MAE",1,"ind_bm_ia",0.0149210626710656
"343","NN1_MSE",1,"ind_bm_ia",0.0139637041979342
"344","NN1_MAE",1,"ind_bm_ia",0.0139732643119858
"345","NN2_MSE",1,"ind_bm_ia",0.0139771132873008
"346","NN2_MAE",1,"ind_bm_ia",0.0140010943660352
"347","NN3_MSE",1,"ind_bm_ia",0.0139250657872312
"348","NN3_MAE",1,"ind_bm_ia",0.0139699612567817
"349","NN4_MSE",1,"ind_bm_ia",0.0139871226535415
"350","NN4_MAE",1,"ind_bm_ia",0.0138538806129769
"351","NN5_MSE",1,"ind_bm_ia",0.0139606049139254
"352","NN5_MAE",1,"ind_bm_ia",0.0138623244999896
"353","LM_MSE",2,"ind_bm_ia",0.00115638228918852
"354","LM_MAE",2,"ind_bm_ia",0.0011892691314246
"355","ELN_MSE",2,"ind_bm_ia",0.0138888888888889
"356","ELN_MAE",2,"ind_bm_ia",0.0120849403914289
"357","RF_MSE",2,"ind_bm_ia",0.0140391803902861
"358","RF_MAE",2,"ind_bm_ia",0.0147375827450232
