"","Sample","model","train_MAE","train_MSE","train_RMSE","train_RSquare","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"1",1,"LM_MSE",0.174288257962234,0.0713465009640837,0.267107658003442,0.217239138788464,1.05980644232192,9.90217142644881,3.14677158790542,-201.54262780962,0.288635852475613,0.182966181762916,0.427745463754925,-3.42922998527527
"2",1,"LM_MAE",0.170538057251206,0.0743666188532684,0.272702436463755,0.184104646585564,1.06876109094112,9.81459279399424,3.13282505001384,-199.751262502618,0.280524850170838,0.179758404865616,0.42397925051306,-3.35157639113729
"3",1,"ELN_MSE",0.196017563965194,0.0897909461869441,0.299651374411906,0.0148803737176554,0.156522039248618,0.0476004196742789,0.218175204077546,0.0263636458648202,0.133829752776279,0.0399561047634557,0.199890231785987,0.0327459664517747
"4",1,"ELN_MAE",0.194640186079213,0.0910266324986038,0.301706202287265,0.00132334052847372,0.156339510980042,0.0488478923123581,0.221015592916785,0.00084738530379902,0.128917556376975,0.0396422652296537,0.199103654485933,0.0403433675686757
"5",1,"RF_MSE",0.103421428095802,0.0271550726919658,0.164787962824855,0.702074694632532,0.178338443272394,0.0615977567258434,0.248188953674098,-0.25994299402917,0.144879406446607,0.0417579553406162,0.204347633557661,-0.0108730812238562
"6",1,"RF_MAE",0.119164807135123,0.0407342017229658,0.201827158041146,0.553094568190746,0.163158707691499,0.053027873720541,0.230277818559541,-0.0846514797579958,0.138597395402148,0.0400745500242926,0.200186288302403,0.0298786535098006
"7",1,"NN1_MSE",0.181740874164182,0.0776597940929331,0.278675069019339,0.147974371773375,0.256528033496512,0.115124578006222,0.339300129687895,-1.35480012924965,0.166100116678504,0.0542339568449488,0.232881851686534,-0.312891079451162
"8",1,"NN1_MAE",0.178329170103339,0.0782983609686438,0.279818442867234,0.140968489903653,0.236288693739819,0.0959434348564643,0.309747372638517,-0.962462027773479,0.158071743019728,0.0486384035793352,0.220541160737254,-0.177434395218798
"9",1,"NN2_MSE",0.181363375299482,0.0778752201477703,0.279061319691157,0.145610876970783,0.243305438784849,0.104754122339871,0.323657415085567,-1.14267904471302,0.170654932577722,0.0580418495180687,0.240918761241354,-0.405072225966791
"10",1,"NN2_MAE",0.180464647886022,0.0812080732373593,0.284970302377913,0.109045286234784,0.210171952575471,0.0784238164550252,0.280042526154556,-0.604109359815092,0.155235426035874,0.0500553020917423,0.223730422812237,-0.211734555591479
"11",1,"NN3_MSE",0.182755120722918,0.0785125289722325,0.280200872540098,0.138618797505739,0.239747309960346,0.0995326176648063,0.315487904149757,-1.03587648268273,0.165890491199738,0.0514631160359855,0.226854834720324,-0.245814797499847
"12",1,"NN3_MAE",0.178004959430515,0.0787730303406694,0.280665335124717,0.135760769813433,0.217406586730985,0.0830979829139956,0.288267207489849,-0.699716466241341,0.146644494015057,0.0436675445794318,0.208967807519321,-0.0571002573862833
"13",1,"NN4_MSE",0.180487047303414,0.0776633227274929,0.278681400038634,0.147935658213641,0.246471563849785,0.107137012745603,0.327317907767972,-1.19141955462482,0.158660707097135,0.0511902811834699,0.226252693207108,-0.239210034269034
"14",1,"NN4_MAE",0.181947194218319,0.0824240861181423,0.287095952806971,0.0957040953292173,0.190890954446699,0.0674112477399863,0.259636761149084,-0.378854260663783,0.141086874390225,0.0426518597811947,0.206523266924564,-0.0325126449619857
"15",1,"NN5_MSE",0.184850292331468,0.0823078336268808,0.286893418584116,0.0969795313905275,0.220095434358903,0.0877174897547718,0.296171385779875,-0.794205544890919,0.166066835530846,0.055250836175187,0.23505496415772,-0.337507609005971
