% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2018
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2018 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2018, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197208	  0.01435214	  0.02170770	 -0.03104982	
197209	 -0.01895372	  0.02630907	 -0.01488973	
197210	 -0.03986232	 -0.02387699	 -0.01545361	
197211	 -0.01686769	 -0.03271622	 -0.00776205	
197212	 -0.07355568	 -0.03646268	  0.00882111	
197301	 -0.05636308	 -0.02723400	 -0.01481098	
197302	 -0.04829286	  0.02709231	 -0.01086541	
197303	 -0.03071518	 -0.01310253	 -0.01271889	
197304	 -0.04066723	 -0.01087083	  0.02308621	
197305	 -0.11566841	 -0.06479490	 -0.00263267	
197306	 -0.19991624	 -0.16380525	 -0.03231649	
197307	 -0.09645608	 -0.00819948	  0.00245030	
197308	 -0.09587619	 -0.02345798	  0.01594605	
197309	 -0.12252505	 -0.00209738	  0.01702629	
197310	 -0.05342640	  0.02592614	 -0.04308556	
197311	 -0.30129471	 -0.23763195	 -0.02650170	
197312	 -0.13417844	 -0.08140291	 -0.01684214	
197401	 -0.16222605	 -0.06554971	  0.10501732	
197402	 -0.12002965	 -0.05323137	  0.03898203	
197403	 -0.00128674	  0.11567577	  0.04593273	
197404	 -0.04192205	  0.00311157	  0.02365498	
197405	 -0.10176169	 -0.08457771	  0.06008724	
197406	 -0.06937052	 -0.06487045	 -0.01077655	
197407	 -0.23115520	 -0.13602613	 -0.00473158	
197408	 -0.10185960	 -0.06146603	 -0.02869620	
197409	 -0.11031084	 -0.06494556	  0.02436165	
197410	 -0.08565812	  0.00697178	 -0.07885913	
197411	 -0.08357406	  0.03527229	 -0.01939789	
197412	 -0.10467737	 -0.04090791	  0.02044962	
197501	 -0.11363574	 -0.07587473	  0.10883999	
197502	 -0.07571976	  0.01869198	  0.03674259	
197503	 -0.13072553	  0.00709007	  0.05999037	
197504	  0.00011554	  0.03649758	  0.00210471	
197505	 -0.06664547	 -0.01156826	 -0.03234878	
197506	  0.02342978	  0.02405567	 -0.01805181	
197507	 -0.05962827	 -0.02792367	 -0.00983661	
197508	 -0.12755813	 -0.12196463	 -0.00842826	
197509	 -0.08967738	 -0.05287198	 -0.01923828	
